dataset,horizon_days,threshold,feature,n,n_pos,point_biserial_r,p_value,p_adj_fdr,significant_fdr_10pct
A_coingecko_365d,14,5,dist_from_high_90d,15060,6,-0.02725860559601618,0.000821349597382382,0.005733474117374615,True
A_coingecko_365d,14,5,narr_l2,18800,8,0.022306216699384363,0.0022233562134644836,0.013340137280786903,True
A_coingecko_365d,14,5,dist_from_high_30d,18800,8,-0.019008989582245152,0.009148791208881337,0.04100696431840272,True
A_coingecko_365d,14,5,ret_30d,18800,8,-0.014508405033262523,0.04667199466973369,0.14865894598507767,False
A_coingecko_365d,14,5,ma7_above_ma30,18800,8,-0.014258440803319488,0.05058445314722846,0.1553665346664874,False
A_coingecko_365d,14,5,narr_l1,18800,8,0.011811892673921399,0.10533673147288523,0.2690779873267762,False
A_coingecko_365d,14,5,narr_gaming,18800,8,0.0102072668756202,0.16166510064721504,0.36587364883317086,False
A_coingecko_365d,14,5,price_above_ma30,18800,8,-0.009981280828596159,0.17115331831869307,0.3734362491868423,False
A_coingecko_365d,14,5,vol_30d,18800,8,0.00859585741102442,0.238578211426621,0.45935207871692696,False
A_coingecko_365d,14,5,narr_infra,18800,8,-0.007994476376341292,0.27303851340682894,0.5031709747068706,False
A_coingecko_365d,14,5,tvl_growth_7d,2580,3,-0.02094446905404142,0.2875787506212069,0.5225022370441647,False
A_coingecko_365d,14,5,narr_memecoin,18800,8,-0.006662145448550797,0.36102339437359066,0.6087845473750744,False
A_coingecko_365d,14,5,narr_defi,18800,8,-0.006046398936292491,0.4071084211525596,0.6638562627215876,False
A_coingecko_365d,14,5,narr_rwa,18800,8,-0.005818642019665834,0.42500646736800485,0.6805233445553152,False
A_coingecko_365d,14,5,narr_depin,18800,8,-0.004911072808010715,0.5007363124918109,0.7382283921307842,False
A_coingecko_365d,14,5,tvl_growth_30d,2561,3,-0.013172944033849046,0.5051952555602321,0.7405703178098858,False
A_coingecko_365d,14,5,ret_14d,18800,8,-0.004727508835727848,0.5168789638643471,0.7449987300391148,False
A_coingecko_365d,14,5,ret_2d,18800,8,0.004205113798489023,0.5642499934386586,0.7684035680862829,False
A_coingecko_365d,14,5,ret_1d,18800,8,0.003369163808317095,0.6441336265737555,0.8393256346264086,False
A_coingecko_365d,14,5,ret_7d,18800,8,-0.0031262781187794183,0.6681952720447941,0.8576834835201834,False
A_coingecko_365d,14,5,universe_vol_chg_7d,18800,8,-0.0030354954503094816,0.6772786948472517,0.8631941423304352,False
A_coingecko_365d,14,5,btc_dominance_proxy,18800,8,-0.002950048921715436,0.6858713146424,0.8631941423304352,False
A_coingecko_365d,14,5,vol_rel_7d,18800,8,-0.002557840159464971,0.7258204578632701,0.8917222768034461,False
A_coingecko_365d,14,5,narr_ai,18800,8,0.002494949836079158,0.7322996640049998,0.8954185465084832,False
A_coingecko_365d,14,5,ret_3d,18800,8,0.0019222699410930493,0.7921258478981421,0.918895091472511,False
A_coingecko_365d,14,5,btc_ret_90d,15561,6,0.0022192452260762657,0.7819221278125327,0.918895091472511,False
A_coingecko_365d,14,5,vol_rel_30d,18800,8,-0.0014708817756493638,0.8401795273782993,0.927813161853096,False
A_coingecko_365d,14,5,market_cap_usd,18795,8,-0.0016767292780899162,0.8182037961888322,0.927813161853096,False
A_coingecko_365d,14,5,vol_7d,18800,8,0.0012792120543066894,0.8607770244447559,0.9370484063575824,False
A_coingecko_365d,14,5,price_above_ma7,18800,8,0.001207966418198253,0.8684583221697939,0.9373606389344429,False
A_coingecko_365d,14,5,tvl_to_mcap,3189,3,0.0027291868882317353,0.8775621038832685,0.9373606389344429,False
A_coingecko_365d,30,5,vol_30d,18800,20,0.03965951601808459,5.339515814130078e-08,1.5306612000506224e-06,True
A_coingecko_365d,30,5,dist_from_high_30d,18800,20,-0.03796185854919833,1.9233380684866525e-07,4.135176847246303e-06,True
A_coingecko_365d,30,5,dist_from_high_90d,15060,14,-0.03919379058724705,1.4996703624891874e-06,2.1822234064000477e-05,True
A_coingecko_365d,30,5,narr_l2,18800,20,0.026291425328534523,0.00031181405052500616,0.0025950975817887606,True
A_coingecko_365d,30,5,ma7_above_ma30,18800,20,-0.023494547885253462,0.0012745892344890627,0.0084318980127738,True
A_coingecko_365d,30,5,price_above_ma30,18800,20,-0.018431735507032275,0.011495018479684309,0.04783410915739599,True
A_coingecko_365d,30,5,narr_ai,18800,20,0.01217450479129161,0.09507084433123926,0.25286884368515183,False
A_coingecko_365d,30,5,vol_7d,18800,20,0.01128652400996368,0.12174836490216258,0.293561477988392,False
A_coingecko_365d,30,5,btc_dominance_proxy,18800,20,-0.01013592444594391,0.16461658378965155,0.3693137271106965,False
